Name,Version,Architecture,Description
libdrm-amdgpu1:amd64,2.4.83-1~16.04.1,amd64,Userspace interface to amdgpu-specific kernel DRM services -- runtime
libdrm-common,2.4.83-1~16.04.1,all,Userspace interface to kernel DRM services -- common files
libdrm-intel1:amd64,2.4.83-1~16.04.1,amd64,Userspace interface to intel-specific kernel DRM services -- runtime
libdrm-nouveau2:amd64,2.4.83-1~16.04.1,amd64,Userspace interface to nouveau-specific kernel DRM services -- runtime
libdrm-radeon1:amd64,2.4.83-1~16.04.1,amd64,Userspace interface to radeon-specific kernel DRM services -- runtime
libdrm2:amd64,2.4.83-1~16.04.1,amd64,Userspace interface to kernel DRM services -- runtime
libdv4:amd64,1.0.0-7,amd64,software library for DV format digital video (runtime lib)
libe-book-0.1-1:amd64,0.1.2-2ubuntu1,amd64,library for reading and converting various e-book formats
libebackend-1.2-10:amd64,3.18.5-1ubuntu1,amd64,Utility library for evolution data servers
libebook-1.2-16:amd64,3.18.5-1ubuntu1,amd64,Client library for evolution address books
libebook-contacts-1.2-2:amd64,3.18.5-1ubuntu1,amd64,Client library for evolution contacts books
libecal-1.2-19:amd64,3.18.5-1ubuntu1,amd64,Client library for evolution calendars
libedata-book-1.2-25:amd64,3.18.5-1ubuntu1,amd64,Backend library for evolution address books
libedata-cal-1.2-28:amd64,3.18.5-1ubuntu1,amd64,Backend library for evolution calendars
libedataserver-1.2-21:amd64,3.18.5-1ubuntu1,amd64,Utility library for evolution data servers
libedataserverui-1.2-1:amd64,3.18.5-1ubuntu1,amd64,Utility library for evolution data servers
libedit2:amd64,3.1-20150325-1ubuntu2,amd64,BSD editline and history libraries
libefivar0:amd64,0.23-2,amd64,Library to manage UEFI variables
libegl1-mesa:amd64,17.2.8-0ubuntu0~16.04.1,amd64,free implementation of the EGL API -- runtime
libelf1:amd64,0.165-3ubuntu1,amd64,library to read and write ELF files
libemail-valid-perl,1.198-1,all,Perl module for checking the validity of Internet email addresses
libenchant1c2a:amd64,1.6.0-10.1build2,amd64,Wrapper library for various spell checker engines (runtime libs)
libencode-locale-perl,1.05-1,all,utility to determine the locale encoding
libeot0:amd64,0.01-3ubuntu1,amd64,Library for parsing/converting Embedded OpenType files
libepoxy0:amd64,1.3.1-1ubuntu0.16.04.2,amd64,OpenGL function pointer management library
libespeak1:amd64,1.48.04+dfsg-2,amd64,Multi-lingual software speech synthesizer: shared library
libestr0,0.1.10-1,amd64,Helper functions for handling strings (lib)
libetonyek-0.1-1:amd64,0.1.6-1ubuntu1,amd64,library for reading and converting Apple Keynote presentations
libevdev2:amd64,1.4.6+dfsg-1,amd64,wrapper library for evdev devices
libevdocument3-4:amd64,3.18.2-1ubuntu4.3,amd64,"Document (PostScript, PDF) rendering library"
libevent-2.0-5:amd64,2.0.21-stable-2ubuntu0.16.04.1,amd64,Asynchronous event notification library
